filename,width,height,class,xmin,ymin,xmax,ymax
164. d1dc5e73-d908-462c-8c66-16fa7d7c77d2--2014-0408_finalist_breakfast-fried-rice-021.jpg,753,502,fired egg,205,188,501,381
166. savory-oatmeal-fried-egg-1.jpg,660,993,fired egg,282,520,562,817
1671.jpg_wh1200.jpg,1200,800,fired egg,369,279,874,626
168. caramelized-mushroom-and-marinara-fontina-polenta-with-goat-cheese-+-fried-eggs-1.jpg,600,900,fired egg,359,302,543,544
1685643_20180522095126251060_0.jpg,360,240,fired egg,170,61,293,155
1685643_20180522095146677060_0.jpg,240,360,fired egg,78,145,204,220
17. olive-oil-fried-egg.jpg,1200,1372,fired egg,340,434,840,943
172. obefbsw3nrfefhm4tomoek3jxe.jpg,800,600,fired egg,284,247,496,388
173. different_color_of_egg_yolk.jpg,4328,3068,fired egg,1245,1334,1936,1997
173. different_color_of_egg_yolk.jpg,4328,3068,fired egg,1991,1034,2763,1615
173. different_color_of_egg_yolk.jpg,4328,3068,fired egg,2700,797,3572,1497
173. different_color_of_egg_yolk.jpg,4328,3068,fired egg,2818,1434,3545,2188
173. different_color_of_egg_yolk.jpg,4328,3068,fired egg,2209,1579,3027,2297
173. different_color_of_egg_yolk.jpg,4328,3068,fired egg,1709,2106,2763,2679
174. img_2189-2.jpg,4960,3307,fired egg,1830,1173,2960,2283
176. avfinallookingdown-730x514.jpg,730,514,fired egg,103,61,643,431
178. 83333591-english-breakfast-with-fried-eggs-bacon-sausages-green-beans-and-french-fries.jpg,1300,866,fired egg,273,89,735,417
179. breakfast-fried-eggs-french-fries-wooden-background-69884763.jpg,1300,975,fired egg,586,258,1024,612
18. dscn8974.jpg,4320,3240,fired egg,1041,174,3832,2574
18. zuams.jpg,1936,1296,fired egg,371,255,1710,1251
180. c4707512-1697-4929-8a6e-a935cdab64af--genius_fried-eggs-vinegar_food52_mark_weinberg_13-12-10_1288.jpg,753,502,fired egg,270,119,519,372
181. irnbet2lnfbelb4o3r2ybqv5cq.jpg,800,600,fired egg,332,147,651,339
182. cajun-rice.jpg,2612,2374,fired egg,400,744,1248,1492
182. cajun-rice.jpg,2612,2374,fired egg,1527,823,2242,1413
182. cajun-rice.jpg,2612,2374,fired egg,1300,1450,2211,2050
187. fried-eggs-isolated-on-white-background-3d-illustration-j3n2ya.jpg,1300,1065,fired egg,106,306,632,608
187. fried-eggs-isolated-on-white-background-3d-illustration-j3n2ya.jpg,1300,1065,fired egg,678,93,1106,447
187. fried-eggs-isolated-on-white-background-3d-illustration-j3n2ya.jpg,1300,1065,fired egg,712,549,1147,878
188. the+pioneer+woman%27s+breakfast+hash.jpg,1000,688,fired egg,292,116,723,403
189. 13726124_f520.jpg,520,346,fired egg,27,65,279,300
189. 13726124_f520.jpg,520,346,fired egg,262,16,520,286
19. ffyygdnfamxarwf4joxu.jpg,800,450,fired egg,276,86,706,397
190. shutterstock_423845152.jpg,650,434,fired egg,7,9,429,397
195. 4752886786_dcee537413_b.jpg,500,750,fired egg,61,228,310,423
198. d13f0ee2-8e15-40b4-b580-ec7fd9584d9d--2014-0311_finalist_decadent-fried-egg-sandwich-020.jpg,753,502,fired egg,247,171,552,352
199. woman-plating-fried-eggs-500x366.jpg,500,366,fired egg,122,165,271,288
2. how-to-make-fried-eggs-recipe-1.jpg,1320,1980,fired egg,311,904,808,1426
2. how-to-make-fried-eggs-recipe-1.jpg,1320,1980,fired egg,823,523,1299,986
2. how-to-make-fried-eggs-recipe-1.jpg,1320,1980,fired egg,805,1095,1320,1769
2. potato-coins-with-fried-eggs-oh-x.jpg,420,315,fired egg,147,85,288,214
20. 14297_black_bean_cake_avocado_crema.jpg,3000,2000,fired egg,259,52,2100,1099
20. foejb-rumdh2boxj35xs5_p-ve8mcs3k8t4u-pdczqwv0d3w3ooqsagipd2u1ugdnhnqtk5dbhkmfmg_fgmlbzvgkidchar7o7rerrc=w600-l68.jpg,600,398,fired egg,275,43,543,210
20. foejb-rumdh2boxj35xs5_p-ve8mcs3k8t4u-pdczqwv0d3w3ooqsagipd2u1ugdnhnqtk5dbhkmfmg_fgmlbzvgkidchar7o7rerrc=w600-l68.jpg,600,398,fired egg,90,141,337,368
200. 11a9533ced7f97803536afcd089ba19ed27984ba.jpg,470,350,fired egg,36,55,226,311
200. 11a9533ced7f97803536afcd089ba19ed27984ba.jpg,470,350,fired egg,248,56,432,330
20170411013033288_400.jpg,400,300,fired egg,142,81,300,225
2099667_154813886000_2.jpg,1024,1024,fired egg,285,306,713,702
21. 2013-05-06-r-black-bean-burger.jpg,1000,607,fired egg,472,71,743,458
21733963144991_774_m.jpg,255,255,fired egg,33,102,127,169
21733963144991_774_m.jpg,255,255,fired egg,140,67,245,136
22. 1450715423149.jpeg,826,620,fired egg,396,210,632,391
22. fried-egg-shutterstock_250793443.jpg,600,519,fired egg,58,180,302,378
22. fried-egg-shutterstock_250793443.jpg,600,519,fired egg,336,132,504,372
23. e1.jpg,600,900,fired egg,33,196,213,331
23. e1.jpg,600,900,fired egg,336,254,600,457
23. e1.jpg,600,900,fired egg,43,476,370,769
23. featured-article-potatoes-basque-dinner-party-txikito-spanish-tapas-recipes.jpg,1400,788,fired egg,803,332,978,516
23. featured-article-potatoes-basque-dinner-party-txikito-spanish-tapas-recipes.jpg,1400,788,fired egg,605,191,753,335
2368.jpg_wh1200.jpg,1200,800,fired egg,526,295,803,543
24. 16cooking-hashwithegg1-superjumbo.jpg,2048,1537,fired egg,400,532,1036,1032
24. bbq-fried-egg.jpg,1280,720,fired egg,160,340,655,613
24. bbq-fried-egg.jpg,1280,720,fired egg,745,153,1177,410
25. oven-fried-eggs-coconut-contentment-1-of-1.jpg,1400,1267,fired egg,480,222,769,544
25. oven-fried-eggs-coconut-contentment-1-of-1.jpg,1400,1267,fired egg,828,331,1150,875
25. oven-fried-eggs-coconut-contentment-1-of-1.jpg,1400,1267,fired egg,350,681,861,1103
26. bbq-fried-egg.jpg,1280,720,fired egg,215,328,657,575
26. bbq-fried-egg.jpg,1280,720,fired egg,725,160,1067,418
26. sfs_perfect_fried_egg_color-73_article.jpg,3269,3269,fired egg,754,361,1894,1307
26. sfs_perfect_fried_egg_color-73_article.jpg,3269,3269,fired egg,694,1547,2254,2721
27. crispy-fried-egg-3.jpg,1000,731,fired egg,263,165,478,488
27. crispy-fried-egg-3.jpg,1000,731,fired egg,484,428,763,690
27. crispy-fried-egg-3.jpg,1000,731,fired egg,541,49,906,379
28. friedeggs_for_two_jf06_huevosrancheros_article.jpg,2336,2352,fired egg,449,643,1494,1516
28. friedeggs_for_two_jf06_huevosrancheros_article.jpg,2336,2352,fired egg,1772,248,2313,821
28554296515_100921d3b4_b.jpg,1024,1024,fired egg,345,206,755,640
29. egg.jpg,1024,636,fired egg,192,96,844,538
29789137706_8307baf64e_b.jpg,1024,813,fired egg,229,520,379,710
29789137706_8307baf64e_b.jpg,1024,813,fired egg,775,402,967,600
3. 1351635471645.jpeg,616,462,fired egg,245,150,465,310
3. basic-fried-eggs-2-930x550.jpg,930,550,fired egg,141,171,530,513
3. basic-fried-eggs-2-930x550.jpg,930,550,fired egg,88,29,726,239
30. recipe0116-xl-bacon-fried-rice-with-avocado-and-fried-eggs.jpg,1200,900,fired egg,457,224,688,507
30. recipe0116-xl-bacon-fried-rice-with-avocado-and-fried-eggs.jpg,1200,900,fired egg,109,740,286,900
31. 102645188-fried-egg-by-meredith-edited.jpg,650,465,fired egg,367,70,567,411
31. cajun-rice.jpg,2612,2374,fired egg,448,807,1274,1423
31. cajun-rice.jpg,2612,2374,fired egg,1421,750,2337,1407
31. cajun-rice.jpg,2612,2374,fired egg,1248,1371,2216,2050
32. 1382543824610.jpeg,616,462,fired egg,185,126,378,319
33. vegetable-hash-fried-egg-6.jpg,1024,764,fired egg,480,166,900,616
35. crispy-fried-egg-beauty.jpg,1200,898,fired egg,614,136,1186,759
35. eggs-in-purgatory-recipe.jpg,1200,1519,fired egg,452,673,652,864
35. eggs-in-purgatory-recipe.jpg,1200,1519,fired egg,759,742,995,1021
35. eggs-in-purgatory-recipe.jpg,1200,1519,fired egg,250,888,505,1178
35. eggs-in-purgatory-recipe.jpg,1200,1519,fired egg,540,1088,845,1323
36. 150316_mashed-potato-pancakes-recipe_h_large.jpg,1600,1066,fired egg,399,496,940,902
36. 150316_mashed-potato-pancakes-recipe_h_large.jpg,1600,1066,fired egg,805,139,1309,536
37. mar-10-fried-eggs-with-asparagus-pancetta-and-bread-crumbs.jpg,652,776,fired egg,525,58,652,297
37. mar-10-fried-eggs-with-asparagus-pancetta-and-bread-crumbs.jpg,652,776,fired egg,114,480,288,716
38. 102645188-fried-egg-by-meredith-edited.jpg,650,465,fired egg,346,60,566,398
38. 12695951-double-fried-egg.jpg,1300,822,fired egg,214,72,1273,734
39. 1022_fpr05_udon_2040_web_sq_hi_res.jpg,1242,1242,fired egg,321,328,901,825
39. 201302-xl-ratatouille-toasts-with-fried-eggs.jpg,1200,900,fired egg,333,281,624,619
4. friedeggs.jpg,820,625,fired egg,266,173,610,478
40. hqdefault.jpg,480,360,fired egg,69,116,206,299
40. hqdefault.jpg,480,360,fired egg,215,132,365,296
40. mar-10-fried-eggs-with-asparagus-pancetta-and-bread-crumbs.jpg,652,776,fired egg,109,511,308,722
40. mar-10-fried-eggs-with-asparagus-pancetta-and-bread-crumbs.jpg,652,776,fired egg,504,79,652,275
41. perfect-fried-eggs-12.jpg,256,256,fired egg,32,58,124,175
41. perfect-fried-eggs-12.jpg,256,256,fired egg,136,80,238,240
41. turmeric-eggs-with-kale-yogurt-and-bacon.jpg,1200,675,fired egg,424,318,717,611
410475_041895.jpg,580,435,fired egg,147,117,529,300
41903013.jpg,450,318,fired egg,189,121,304,203
42. 12friedrice-superjumbo.jpg,2048,1152,fired egg,688,208,1420,708
42. 7-recipe_lemon-butter-fried-eggs_600x864.jpg,1000,1440,fired egg,93,426,674,828
42. 7-recipe_lemon-butter-fried-eggs_600x864.jpg,1000,1440,fired egg,124,846,939,1246
42806951741_44792c5780_b.jpg,1024,768,fired egg,249,210,557,474
42806951741_44792c5780_b.jpg,1024,768,fired egg,461,128,831,408
43. fried-egg.jpg,3888,2592,fired egg,652,1249,1805,2134
43. fried-egg.jpg,3888,2592,fired egg,2198,834,3375,1365
43. pan-fried-rice-noodles-7.jpg,1320,1977,fired egg,657,594,1084,976
43. pan-fried-rice-noodles-7.jpg,1320,1977,fired egg,554,1025,972,1331
45. onepannanchorecipe-1.jpg,700,467,fired egg,281,158,386,241
45. onepannanchorecipe-1.jpg,700,467,fired egg,229,263,338,341
45. onepannanchorecipe-1.jpg,700,467,fired egg,363,269,457,354
46. gettyimages-901714210.jpeg,1200,900,fired egg,293,229,640,769
46. gettyimages-901714210.jpeg,1200,900,fired egg,669,171,1059,688
46. skillet-baked-eggs-with-spinach-yogurt-and-chili-oil.jpg,928,522,fired egg,351,99,620,321
46. skillet-baked-eggs-with-spinach-yogurt-and-chili-oil.jpg,928,522,fired egg,331,314,729,486
47. pan-fried-rice-noodles-ff.jpg,600,600,fired egg,299,138,470,310
47. pan-fried-rice-noodles-ff.jpg,600,600,fired egg,259,323,424,495
48. autumn-hash-7-1024x791.jpg,1024,791,fired egg,244,197,550,559
48. crispy-fried-egg-3.jpg,1000,731,fired egg,241,173,494,512
48. crispy-fried-egg-3.jpg,1000,731,fired egg,488,388,733,714
48. crispy-fried-egg-3.jpg,1000,731,fired egg,549,67,853,394
49. 800aasunnysidedsc_1048-800x1200.jpg,800,1200,fired egg,357,436,770,871
49. crispyegg_article--740x1005.jpeg,740,1005,fired egg,45,423,309,693
5. 15e75029-e7b7-40eb-9e23-a526d174c925.jpg,800,450,fired egg,215,144,451,302
5. 15e75029-e7b7-40eb-9e23-a526d174c925.jpg,800,450,fired egg,426,219,661,411
5. dd-13-2-800x800.jpg,800,800,fired egg,140,227,479,548
5. dd-13-2-800x800.jpg,800,800,fired egg,211,538,596,800
50. 3e8ca0a900000578-4341566-image-a-3_1490260698976.jpg,586,389,fired egg,146,77,474,315
50. rice-with-fried-eggs.jpg,800,640,fired egg,250,236,606,404
51. f08752b9-ca7d-4c63-a72e-0efec5c0a585--genius_fried-eggs-vinegar_food52_mark_weinberg_13-12-10_1288.jpg,1200,1200,fired egg,374,283,976,945
51. two-fried-eggs.jpg,700,350,fired egg,229,62,412,196
51. two-fried-eggs.jpg,700,350,fired egg,405,148,592,280
53. paleo-breakfast-fried-rice-3.jpg,1200,1800,fired egg,162,350,551,764
53. paleo-breakfast-fried-rice-3.jpg,1200,1800,fired egg,178,932,583,1277
54. fried-polenta-poached-egg-breakfast-recipe-1.jpg,680,888,fired egg,257,313,629,640
55. gallo-pinto-dpv.jpg,660,990,fired egg,170,293,616,715
56. 0917-stir-fried-broccoli-farro-fried-eggs.jpg,1280,850,fired egg,667,65,1065,450
56. 0917-stir-fried-broccoli-farro-fried-eggs.jpg,1280,850,fired egg,467,340,847,653
5675.jpg_wh1200.jpg,984,1200,fired egg,340,503,711,797
57. cs-fried-eggs-on-chorizo-hash.jpg,710,455,fired egg,223,67,447,388
58. spicy-moroccan-fried-eggs-2.jpg,600,900,fired egg,271,169,478,349
58. spicy-moroccan-fried-eggs-2.jpg,600,900,fired egg,159,375,397,588
58. ss_r109830.jpg,300,300,fired egg,135,95,246,186
59. 11eggs-videosixteenbyninejumbo1600-v3.jpg,1600,900,fired egg,987,272,1462,628
59. 11eggs-videosixteenbyninejumbo1600-v3.jpg,1600,900,fired egg,677,541,1215,863
59df23e9N9723de4e.jpg,350,350,fired egg,93,217,239,294
5_1F921114339.jpg,500,375,fired egg,164,84,342,256
6. fried-egg.jpg,400,301,fired egg,68,69,336,256
60. 1211_2pv2_shiitake-ramen_98006_sq_hi_res.jpg,1242,1242,fired egg,274,664,692,1055
60. maxresdefault.jpg,1280,720,fired egg,177,143,497,378
1. hospital-food-dinner-tray-768x1024.jpg,658,606,rice,267,275,520,519
100. hospital_lunch1.jpg,400,300,rice,290,142,398,272
101. hospital-food.jpg,400,300,rice,72,41,181,136
105. 577d1f6e0aec9518008b57c9-750-563.jpg,750,563,rice,469,280,701,492
108. 8479f66e-cace-4d58-9827-f131c74d0c19.jpg,712,475,rice,327,88,632,303
11. japan-hospital-food-is-the-best-in-the-world-heres-proof-courtesy-twitter-user-pesrevi-ft.jpg,1000,625,rice,1,267,286,599
110. img_8442.jpg,3264,2448,rice,2233,880,2920,2103
115. 4935679070_936feb9a6e.jpg,375,500,rice,176,80,346,231
118. 20150515_172654.jpg,900,1600,rice,17,601,381,1017
12. hospital_launch1.jpg,400,300,rice,286,155,391,282
120. hospital-food-on-tray-s112cf.jpg,1300,1064,rice,92,396,523,781
12184.jpg,640,480,rice,3,213,150,356
12245.jpg,500,375,rice,2,150,181,294
129. bigstock-food-for-hospital-patients-136585268-678x381.jpg,678,381,rice,516,53,678,233
12923.jpg,567,495,rice,1,102,249,267
13. hospital-food-3.jpg,750,563,rice,29,280,253,449
131. img_1231.jpg,3264,2448,rice,1452,1508,2261,2285
13164.jpg,300,400,rice,1,4,86,61
13182.jpg,320,240,rice,15,122,102,206
13233.jpg,320,240,rice,4,155,95,240
13236.jpg,320,240,rice,27,117,103,192
13262.jpg,640,480,rice,44,39,296,220
13264.jpg,280,240,rice,69,129,230,240
13273.jpg,384,288,rice,280,147,331,175
13276.jpg,640,480,rice,610,272,640,388
13295.jpg,500,375,rice,6,167,206,341
13297.jpg,500,375,rice,47,168,271,375
13325.jpg,500,375,rice,289,25,434,154
13327.jpg,500,375,rice,267,195,442,348
13329.jpg,500,375,rice,324,180,500,357
13331.jpg,500,375,rice,381,149,500,270
13838.jpg,800,600,rice,327,56,508,210
13840.jpg,800,600,rice,527,53,694,236
13847.jpg,800,450,rice,27,175,288,348
13857.jpg,320,160,rice,52,87,129,156
13859.jpg,640,480,rice,75,256,237,440
13867.jpg,320,240,rice,15,140,79,202
13882.jpg,800,600,rice,96,324,327,543
13887.jpg,640,480,rice,358,30,567,206
13888.jpg,320,240,rice,3,110,93,188
13893.jpg,320,240,rice,223,91,307,165
13898.jpg,320,240,rice,26,183,86,231
13903.jpg,320,240,rice,12,149,89,217
13933.jpg,640,480,rice,31,228,297,459
13938.jpg,320,240,rice,12,57,93,127
13947.jpg,800,400,rice,26,150,298,393
13948.jpg,320,240,rice,92,171,175,240
13958.jpg,480,640,rice,281,371,409,496
13960.jpg,640,480,rice,213,223,409,378
13969.jpg,640,480,rice,106,29,274,174
13978.jpg,640,480,rice,6,147,180,306
13985.jpg,800,450,rice,2,178,237,405
13988.jpg,800,400,rice,551,16,737,104
13989.jpg,320,240,rice,13,116,76,191
13991.jpg,480,640,rice,106,419,308,601
13992.jpg,640,480,rice,337,305,596,480
13999.jpg,800,400,rice,84,191,320,382
14. xgt0opv.jpg,5312,2988,rice,3767,1767,4644,2528
14002.jpg,640,480,rice,40,298,273,480
14003.jpg,800,400,rice,92,281,252,400
14005.jpg,800,400,rice,482,83,669,211
14006.jpg,320,240,rice,180,115,283,206
14012.jpg,800,600,rice,7,332,242,519
14015.jpg,800,600,rice,25,250,217,450
14016.jpg,800,600,rice,37,306,268,500
14023.jpg,800,600,rice,495,318,701,512
14025.jpg,800,600,rice,17,266,257,494
14036.jpg,800,600,rice,69,56,249,207
141. ls.jpg,250,250,rice,13,57,115,218
143. d91d6a45d60f48b074b975226597b5bc.jpg,473,355,rice,3,140,124,258
14522.jpg,800,600,rice,50,196,216,373
14526.jpg,800,600,rice,56,336,289,551
14565.jpg,320,240,rice,2,110,94,179
14576.jpg,480,640,rice,14,279,175,467
14577.jpg,800,600,rice,87,328,339,552
14584.jpg,800,600,rice,366,80,520,234
14588.jpg,800,600,rice,67,247,319,476
14592.jpg,800,600,rice,264,360,429,512
14595.jpg,320,240,rice,17,53,90,125
14596.jpg,320,240,rice,92,169,178,240
146. 138443.jpg,620,413,rice,465,132,533,358
14600.jpg,320,240,rice,185,116,270,204
14603.jpg,800,600,rice,310,348,496,493
14605.jpg,800,600,rice,90,312,295,486
14607.jpg,800,600,rice,482,183,642,338
14609.jpg,800,600,rice,549,330,727,510
14615.jpg,800,600,rice,517,41,714,237
14616.jpg,800,600,rice,52,331,256,527
14619.jpg,640,480,rice,67,282,222,414
14621.jpg,640,480,rice,163,331,280,419
14626.jpg,640,480,rice,87,255,221,387
14636.jpg,640,480,rice,73,231,283,441
14642.jpg,640,480,rice,226,236,385,370
14644.jpg,640,480,rice,108,42,278,176
14651.jpg,640,480,rice,356,311,593,473
14663.jpg,640,480,rice,188,307,329,462
14666.jpg,640,480,rice,78,242,285,465
14668.jpg,800,450,rice,31,185,181,285
148. img_4588.jpg,1936,2592,rice,662,1588,1298,2178
148. img_4588.jpg,1936,2592,rice,1307,1439,1853,1868
15. lions-gate-meal.jpg,300,345,rice,156,163,232,244
150. img_1237.jpg,3264,2448,rice,1088,949,1747,1580
153. 150.jpg,1600,1195,rice,923,640,1176,920
154. kebab-hospital-antep.jpg,550,413,rice,255,206,359,272
15537.jpg,600,449,rice,391,225,570,412
15542.jpg,640,380,rice,152,227,301,361
15545.jpg,600,450,rice,13,165,187,313
15555.jpg,600,450,rice,266,254,425,420
15559.jpg,600,450,rice,200,33,351,191
15560.jpg,600,450,rice,72,181,280,370
15564.jpg,599,483,rice,121,75,476,289
15583.jpg,480,640,rice,247,107,424,283
15589.jpg,600,450,rice,360,239,513,406
15644.jpg,600,450,rice,123,65,277,208
15655.jpg,600,450,rice,105,112,244,241
15657.jpg,600,450,rice,371,101,556,235
15683.jpg,600,450,rice,47,43,194,124
15687.jpg,600,450,rice,45,219,203,385
15694.jpg,600,450,rice,46,143,236,322
157. p01qzpz1.jpg,336,560,rice,288,137,333,521
15706.jpg,600,450,rice,36,200,225,371
15707.jpg,600,360,rice,127,236,286,358
15719.jpg,600,450,rice,207,258,364,390
15732.jpg,600,360,rice,29,196,191,328
15735.jpg,600,450,rice,251,226,439,385
15741.jpg,600,360,rice,308,195,461,345
